Ranking,Country,Continent,Population (2021),Yearly Change %,Net Change,Density (Population/km2),Land Area (km2),Migrants (net),Fertility Rate,Median Age,Urban Population %
219,Gibraltar,Europe,33691,-0.03,-10,3369,10,NaN,NaN,NaN,NaN
220,British Virgin Islands,North America,30231,0.67,201,202,150,NaN,NaN,NaN,52
221,Caribbean Netherlands,South America,26223,0.94,244,80,328,NaN,NaN,NaN,75
222,Palau,Oceania,18094,0.48,86,39,460,NaN,NaN,NaN,NaN
223,Cook Islands,Oceania,17564,0.09,16,73,240,NaN,NaN,NaN,75
224,Anguilla,North America,15003,0.90,134,167,90,NaN,NaN,NaN,NaN
225,Tuvalu,Oceania,11792,1.25,146,393,30,NaN,NaN,NaN,62
226,Wallis and Futuna,Oceania,11239,-1.69,-193,80,140,NaN,NaN,NaN,0
227,Nauru,Oceania,10824,0.63,68,541,20,NaN,NaN,NaN,NaN
228,Saint Barthélemy,North America,9877,0.30,30,470,21,NaN,NaN,NaN,0
229,Saint Helena,Africa,6077,0.30,18,16,390,NaN,NaN,NaN,27
230,Saint Pierre and Miquelon,North America,5794,-0.48,-28,25,230,NaN,NaN,NaN,100
231,Montserrat,North America,4992,0.06,3,50,100,NaN,NaN,NaN,10
232,Falkland Islands,South America,3480,3.05,103,0,12170,NaN,NaN,NaN,66
233,Niue,Oceania,1626,0.68,11,6,260,NaN,NaN,NaN,46
234,Tokelau,Oceania,1357,1.27,17,136,10,NaN,NaN,NaN,0
235,Vatican City,Europe,801,0.25,2,2003,0,NaN,NaN,NaN,NaN
